Age,Gender,MaritalStatus,Education,Occupation,MonthlyIncomeINR,City,Organization,EventsAttendedAnnually,VisitReason,FirstVisit,EventDiscovery,RegistrationMode,PreferredEventType,HoursSpent,TravelDistance,AttendingWith,ParticipationFrequency,SpendPerVisitINR,PremiumSeatingInterest,BundlePreference,NetworkingInterest,FoodPreferences,MaxFoodSpendINR,SponsorOrExhibitorInterest,CoWorkingInterest,PostEventPartyInterest,Importance_Parking,Importance_Restrooms,Importance_Accessibility,Importance_WiFi,Importance_Signage,Importance_Security,Importance_Seating Comfort,Importance_Cleanliness,Experience_Mobile App,Experience_Digital Ticketing,Experience_Interactive Screens,Experience_Live Streaming,OverallCleanlinessRating,StaffHelpful,NavigationEasy,UsedCloakRoom,UseMobileApp,UsedPublicTransport,SocialMediaPostIntent,ReadReviews,LivePollParticipation,SharePreferencesForPersonalization,NewsletterSubscription,RecommendJioWorldCentre,OverallSatisfaction,ChallengesFaced,MainConcern,RegPaymentIssue,SustainabilityImportance,Suggestions,AdditionalFacilities,ContactConsent,Email
36,Male,Single,PhD,Academic,128183,Delhi,Startup,3,Conference,No,Email,Online,Art & Culture,3.4,Within city,Family,Annually,1550,No,Event + Food,Yes,"Gluten-free,Vegan,Continental",690,No,Yes,Yes,5,4,5,5,4,3,5,5,5,3,2,5,5,Somewhat,Yes,No,Yes,No,No,Sometimes,Yes,No,Yes,8.0,8.0,"Food Quality,Accessibility,Tech Issues",Crowds,Yes,3,,,No,
39,Female,Married,Postgraduate,Corporate,158904,Bangalore,HUL,3,Conference,Yes,Word of Mouth,Through organization,Other,4.9,Within city,Family,Annually,3085,No,Event + Food,No,"Continental,Indian",1183,No,Yes,No,3,3,4,4,5,5,5,4,4,3,5,3,4,Somewhat,Somewhat,No,Yes,Yes,No,Always,Yes,Yes,No,6.0,10.0,"Tech Issues,Signage",Facilities,Yes,3,,,No,
27,Female,Married,PhD,Student,315815,Chennai,Not Disclosed,2,Conference,Yes,Email,Online,Entertainment,1.4,Within city,Alone,Quarterly,2882,Maybe,Event + Food,Yes,"Asian,No preference",650,No,No,No,4,5,3,3,3,5,3,5,2,4,5,4,3,Somewhat,Yes,No,Yes,No,Maybe,Always,Yes,No,No,10.0,6.0,Seating,Pricing,Yes,4,,,No,
46,Male,Married,Graduate,Artist,78028,Mumbai,Not Disclosed,7,Other,No,Email,Through organization,Entertainment,4.7,Outstation,Other,Quarterly,1537,Yes,Event + Food,No,"Quick snacks,Gluten-free",326,Yes,No,Yes,4,5,4,4,4,4,5,4,3,4,5,2,3,Somewhat,Yes,No,Yes,No,Yes,Sometimes,Yes,No,Yes,9.0,6.0,"Other,Signage",COVID-19,No,3,,,Yes,user3683@mail.com
24,Female,Married,Graduate,Corporate,188756,Bangalore,Reliance,0,Conference,Yes,Social Media,Through organization,Art & Culture,1.4,Within city,Friends,Quarterly,1730,Maybe,VIP Perks,No,No preference,702,No,No,Yes,3,4,4,4,2,3,4,4,5,4,3,4,4,Yes,Yes,Yes,No,No,Yes,Never,No,Maybe,No,6.0,6.0,"Parking,Food Quality,Tech Issues",Crowds,No,3,,,No,
52,Male,Single,Graduate,Corporate,102076,Mumbai,HUL,1,Performance,Yes,Social Media,Through organization,Art & Culture,4.1,Within city,Friends,Annually,5372,Yes,Event + Food,Yes,"Indian,Quick snacks,Continental",1292,No,No,No,4,3,4,4,5,5,3,4,4,4,5,2,4,Yes,Yes,No,Yes,Yes,Maybe,Sometimes,No,Yes,No,4.0,7.0,"Food Quality,Parking",Safety,No,3,,,No,
40,Male,Married,Postgraduate,Academic,191578,Other,TCS,1,Performance,Yes,Corporate,Through organization,Industry,8.1,Within city,Alone,Annually,1988,No,Networking Access,Yes,Vegan,841,No,No,Yes,5,3,4,4,5,4,3,4,4,4,5,3,3,Yes,Yes,No,Yes,No,Yes,Sometimes,No,Maybe,No,9.0,9.0,"Seating,Food Quality",Pricing,No,2,,,No,
33,Male,Married,Graduate,Corporate,66982,Bangalore,College,1,Other,No,Email,Online,Family,9.0,Within city,Alone,Quarterly,1588,Maybe,VIP Perks,Yes,"Vegan,Quick snacks",462,Maybe,No,No,3,3,4,4,5,4,3,5,5,4,2,4,3,Somewhat,Somewhat,No,No,Yes,No,Sometimes,No,Yes,Yes,7.0,10.0,"Signage,Other,Seating",Facilities,Yes,4,,,No,user3098@mail.com
22,Male,Married,Postgraduate,Entrepreneur,78084,Hyderabad,Infosys,7,Meeting,Yes,Social Media,Online,Art & Culture,0.1,Within city,Alone,Quarterly,4851,Yes,Networking Access,Yes,No preference,1406,Maybe,No,Yes,4,3,5,4,5,4,4,3,3,3,4,3,5,Yes,Yes,No,Maybe,Sometimes,No,Sometimes,No,Yes,No,10.0,8.0,"Accessibility,Other",Pricing,Yes,5,,,No,
33,Female,Married,Graduate,Academic,102010,Mumbai,Not Disclosed,4,Meeting,No,Email,Online,Art & Culture,5.1,Within city,Family,Annually,3814,No,VIP Perks,No,Continental,531,No,No,No,5,5,5,3,4,4,4,5,4,4,5,3,5,Yes,Yes,Yes,Yes,Yes,No,Sometimes,No,Yes,Yes,9.0,6.0,"Parking,Tech Issues,Accessibility",Pricing,No,5,,,No,
41,Male,Married,Graduate,Corporate,207373,Chennai,TCS,3,Banquet,Yes,Social Media,Online,Entertainment,4.6,Within city,Family,Annually,5055,No,Event + Food,Yes,Vegan,3997,No,No,Maybe,4,3,5,4,4,4,4,4,2,4,4,4,5,Somewhat,Yes,No,Yes,No,No,Sometimes,Yes,Yes,Yes,8.0,5.0,Waiting Time,Pricing,No,4,,,No,
34,Female,Married,Graduate,Corporate,42470,Hyderabad,Infosys,0,Conference,No,Ad,Through organization,Art & Culture,6.4,Within city,Family,Annually,4059,No,Networking Access,Yes,"Indian,No preference",1724,Yes,No,No,4,4,5,3,5,4,5,4,3,5,3,3,5,Yes,Yes,Yes,Yes,No,Yes,Sometimes,No,Maybe,Yes,10.0,7.0,Signage,Crowds,No,1,,,No,
43,Male,Married,High School,Corporate,122905,Mumbai,Other,3,Meeting,No,Email,Online,Academic,3.8,Within city,Friends,Rarely,5763,No,Event + Food,Yes,"Gluten-free,Continental,Indian",776,No,No,Yes,5,5,2,4,3,4,4,4,3,1,3,5,5,Yes,Somewhat,No,Yes,No,No,Sometimes,No,No,No,9.0,9.0,Tech Issues,Safety,No,3,,,No,
24,Male,Married,Graduate,Entrepreneur,252582,Bangalore,TCS,2,Meeting,No,Social Media,Online,Entertainment,6.7,Within city,Alone,Monthly,1372,No,Event + Food,Yes,"Continental,No preference",778,Maybe,Yes,Yes,4,4,5,5,4,4,4,5,4,4,4,4,4,Somewhat,Yes,No,Yes,No,No,Sometimes,Yes,Yes,No,9.0,8.0,Other,Crowds,Somewhat,2,,,No,
22,Other,Married,Graduate,Corporate,72550,Mumbai,Reliance,2,Performance,No,Social Media,Online,Industry,3.5,Within city,Friends,Quarterly,11143,No,None,Yes,Quick snacks,481,No,No,Yes,3,3,4,2,5,5,4,4,3,3,4,3,4,Yes,Yes,No,Yes,Sometimes,No,Always,No,Maybe,No,6.0,7.0,"Signage,Waiting Time,Accessibility",Pricing,Yes,4,,,No,
30,Male,Married,Graduate,Academic,147524,Bangalore,Infosys,6,Banquet,Yes,Corporate,Online,Art & Culture,9.0,Within city,Friends,Annually,6259,Yes,VIP Perks,Yes,"No preference,Vegan",2693,No,No,Yes,2,5,3,5,5,3,3,4,5,4,2,3,3,Yes,Yes,No,Yes,No,Yes,Never,Yes,Yes,Yes,6.0,9.0,"Signage,Accessibility,Seating",Safety,No,4,,,No,
45,Female,Married,PhD,Corporate,131933,Mumbai,Infosys,5,Performance,Yes,Email,Online,Family,6.3,Within city,Alone,Annually,2263,Yes,Parking,Yes,"No preference,Vegan",1205,No,No,Yes,4,4,3,5,5,5,5,4,4,3,4,4,5,Yes,Somewhat,No,Yes,Yes,Yes,Sometimes,Yes,Yes,No,10.0,10.0,Tech Issues,Pricing,No,3,,,No,
27,Female,Married,Postgraduate,Other,70939,Mumbai,College,2,Conference,No,Social Media,Online,Entertainment,4.1,Within city,Alone,Rarely,1822,Yes,Networking Access,Yes,"Continental,No preference",1970,No,No,No,4,4,5,4,5,3,5,3,3,5,4,4,4,Yes,Yes,Yes,Yes,Sometimes,No,Never,Yes,No,Yes,8.0,9.0,"Parking,Food Quality",Pricing,No,4,,,No,
45,Male,Single,Graduate,Student,67316,Hyderabad,Startup,2,Exhibition,No,Social Media,At venue,Family,3.2,Within city,Friends,Annually,8275,No,Event + Food,No,Continental,1902,No,Yes,No,5,4,3,5,3,4,4,4,4,3,3,4,5,Yes,Yes,No,Maybe,No,No,Always,Yes,Maybe,Yes,10.0,8.0,Tech Issues,Crowds,Somewhat,5,,,Yes,
28,Male,Single,Graduate,Entrepreneur,54530,Other,Startup,3,Banquet,No,Email,Online,Academic,5.0,Within city,Alone,Monthly,2971,Yes,Event + Food,Yes,"Quick snacks,Indian",613,No,No,No,5,2,4,4,4,4,2,4,3,4,3,3,4,Yes,No,Yes,No,Yes,No,Sometimes,No,Maybe,Yes,6.0,7.0,"Food Quality,Seating",Safety,No,5,,,No,
37,Female,Married,Postgraduate,Corporate,157248,Pune,Other,5,Conference,Yes,Other,Online,Entertainment,1.9,International,Friends,Monthly,6345,Yes,Event + Food,Yes,"Asian,Continental,Quick snacks",821,No,Yes,Yes,4,3,3,3,4,3,4,4,4,4,5,4,4,Yes,Yes,No,No,No,Maybe,Always,No,No,Yes,8.0,8.0,"Parking,Seating",Pricing,No,5,,,Yes,
37,Male,Married,Graduate,Academic,158345,Other,Startup,3,Conference,No,Social Media,Online,Family,3.3,Within city,Colleagues,Rarely,3743,Yes,Event + Food,Yes,Indian,1128,No,Yes,Yes,4,4,5,4,3,5,4,5,3,3,2,5,5,Somewhat,Yes,No,No,No,No,Sometimes,No,No,Yes,10.0,10.0,"Seating,Accessibility",Facilities,Yes,2,,,No,
26,Male,Married,Postgraduate,Corporate,162493,Mumbai,Reliance,4,Banquet,Yes,Social Media,Online,Other,2.3,Within city,Family,Annually,10582,No,Event + Food,No,"No preference,Quick snacks,Indian",1473,No,No,No,5,3,5,2,3,4,5,4,5,5,2,4,5,Yes,Somewhat,No,Yes,No,Maybe,Always,Yes,Yes,No,10.0,10.0,Waiting Time,COVID-19,Yes,5,,,No,
40,Female,Single,High School,Corporate,90922,Chennai,Not Disclosed,0,Conference,Yes,Word of Mouth,Through organization,Academic,5.4,Within city,Alone,Annually,14117,Maybe,Networking Access,Yes,"Continental,Vegan,Gluten-free",290,No,No,No,4,3,5,4,5,3,4,3,3,3,3,3,4,Yes,Somewhat,No,No,Yes,Maybe,Sometimes,Yes,No,No,8.0,8.0,"Tech Issues,Parking",Pricing,Yes,3,,,No,
18,Other,Single,Graduate,Entrepreneur,118659,Hyderabad,HUL,4,Conference,Yes,Social Media,Through organization,Art & Culture,4.9,International,Alone,Annually,2344,No,Event + Food,No,"Vegan,No preference",578,No,No,Yes,4,5,2,4,4,4,3,4,3,4,3,4,5,Yes,Yes,No,No,Yes,Maybe,Always,No,Yes,Yes,10.0,7.0,"Waiting Time,Accessibility",Crowds,Somewhat,5,,,No,
25,Male,Married,PhD,Entrepreneur,52847,Mumbai,Reliance,5,Conference,No,Word of Mouth,Online,Entertainment,5.6,50-100km,Family,Annually,2154,No,Parking,No,"Gluten-free,Quick snacks",4460,No,No,Yes,5,5,2,3,5,3,3,4,3,4,3,4,4,Somewhat,Yes,No,Yes,No,Yes,Sometimes,No,Yes,No,9.0,10.0,"Tech Issues,Parking,Seating",Pricing,Yes,4,,,Yes,
45,Female,Married,Postgraduate,Corporate,127178,Mumbai,Infosys,3,Exhibition,No,Ad,Through organization,Family,2.7,Within city,Alone,Annually,7570,Maybe,VIP Perks,No,"Asian,Gluten-free,Continental",637,No,No,Yes,3,4,5,3,4,4,3,5,2,2,4,4,4,Yes,Yes,No,Yes,No,No,Sometimes,Yes,No,No,10.0,10.0,"Waiting Time,Other",Crowds,No,4,,,No,
40,Male,Single,PhD,Artist,114389,Delhi,Reliance,3,Performance,No,Social Media,Through organization,Industry,5.7,Within city,Family,Annually,4810,No,Parking,No,Asian,363,Maybe,No,Maybe,4,3,3,5,4,4,5,3,2,3,4,5,4,Yes,Somewhat,No,No,No,Yes,Never,Yes,Maybe,No,8.0,9.0,Accessibility,Pricing,Yes,5,,,No,
18,Male,Married,Postgraduate,Academic,92549,Mumbai,Reliance,1,Conference,Yes,Social Media,Online,Industry,4.9,Within city,Friends,Annually,1121,No,Networking Access,Yes,"Vegan,Asian,No preference",1667,No,No,No,4,5,3,3,3,5,5,4,3,4,4,3,5,Yes,Somewhat,No,Yes,Yes,Yes,Sometimes,No,No,No,8.0,5.0,"Waiting Time,Other,Parking",Pricing,No,4,,,Yes,user3755@mail.com
27,Female,Single,PhD,Corporate,87268,Hyderabad,HUL,7,Conference,Yes,Other,Online,Other,6.9,Within city,Family,Quarterly,3988,Yes,Parking,No,"Asian,Indian",2988,No,Yes,Yes,3,4,5,5,5,4,5,5,3,2,5,3,5,Yes,Yes,Yes,Maybe,No,Maybe,Sometimes,Yes,Yes,Yes,6.0,4.0,"Waiting Time,Seating,Parking",Safety,Yes,4,,,Yes,
26,Female,Single,Postgraduate,Corporate,125183,Mumbai,Reliance,1,Conference,No,Corporate,Online,Industry,8.3,50-100km,Friends,Annually,3581,Yes,Event + Food,Yes,Quick snacks,907,No,No,Maybe,4,5,5,3,4,5,5,5,3,5,4,3,4,Yes,Yes,No,Yes,Sometimes,No,Sometimes,Yes,Yes,Yes,8.0,8.0,"Other,Seating,Waiting Time",Crowds,No,2,,,No,
32,Female,Married,High School,Corporate,32525,Mumbai,TCS,5,Exhibition,No,Email,Online,Family,4.0,Within city,Alone,Quarterly,5429,No,None,Yes,"No preference,Asian,Gluten-free",2357,No,No,Yes,4,5,4,4,5,5,4,4,3,4,4,4,4,Yes,Yes,No,Yes,Yes,Yes,Never,Yes,No,No,10.0,7.0,"Signage,Parking",Safety,No,2,,,No,
51,Male,Single,PhD,Corporate,56597,Mumbai,Startup,3,Conference,No,Social Media,Online,Industry,5.3,Within city,Family,Quarterly,10024,No,None,No,"No preference,Continental",2780,Maybe,Yes,Yes,3,5,5,3,5,4,5,5,4,4,5,5,5,Yes,Yes,No,No,No,No,Sometimes,No,Yes,No,9.0,9.0,"Accessibility,Food Quality,Waiting Time",Pricing,Somewhat,5,,,No,
35,Male,Single,Graduate,Corporate,346278,Other,HUL,4,Exhibition,No,Social Media,Online,Family,2.7,Within city,Alone,Annually,2733,No,Networking Access,Yes,"No preference,Quick snacks,Asian",840,Maybe,Yes,Yes,5,4,4,4,2,3,4,4,3,4,4,4,4,Somewhat,Yes,No,Maybe,No,Yes,Sometimes,Yes,Maybe,Yes,6.0,9.0,"Signage,Food Quality,Accessibility",Crowds,No,4,,,No,
42,Male,Married,Graduate,Academic,235726,Hyderabad,Not Disclosed,3,Exhibition,No,Email,Online,Art & Culture,9.3,50-100km,Alone,Monthly,6806,No,Networking Access,No,Gluten-free,2575,No,No,Yes,5,5,3,4,4,4,4,4,3,4,4,3,3,Somewhat,Yes,No,Yes,No,No,Sometimes,Yes,Yes,No,6.0,9.0,"Accessibility,Food Quality,Signage",Crowds,No,2,,,No,
25,Male,Single,Postgraduate,Artist,117379,Mumbai,Not Disclosed,2,Other,Yes,Corporate,Online,Academic,5.3,Outstation,Alone,Rarely,6377,Yes,Event + Food,No,"No preference,Continental,Vegan",748,No,Yes,Maybe,5,3,3,3,5,4,4,5,3,4,3,4,3,Yes,Somewhat,No,Yes,Sometimes,No,Always,No,No,Yes,6.0,3.0,"Tech Issues,Accessibility",Safety,No,3,,,No,
31,Female,Married,Graduate,Corporate,84334,Mumbai,TCS,4,Banquet,Yes,Word of Mouth,Online,Entertainment,2.6,50-100km,Alone,Annually,8297,No,Event + Food,Yes,"Indian,Vegan,No preference",2852,No,No,Yes,5,5,5,4,4,5,4,5,3,4,4,5,5,Yes,No,No,Yes,Sometimes,Maybe,Sometimes,No,No,Yes,7.0,10.0,"Seating,Parking",Crowds,No,4,,,No,
33,Male,Married,Graduate,Corporate,122685,Other,Reliance,3,Performance,No,Social Media,Through organization,Art & Culture,4.2,Within city,Alone,Quarterly,2339,No,Event + Food,Yes,Quick snacks,1184,No,Yes,Yes,4,4,5,3,5,4,3,4,4,5,5,3,4,Yes,Yes,No,Yes,Yes,No,Sometimes,No,Yes,Yes,10.0,8.0,Accessibility,Facilities,No,2,,,No,
47,Male,Married,PhD,Entrepreneur,133986,Other,Startup,6,Exhibition,No,Social Media,Online,Industry,3.5,Within city,Family,Rarely,4742,No,Event + Food,Yes,Quick snacks,1682,No,Yes,Yes,3,5,4,5,5,4,4,4,4,2,3,2,5,Yes,Yes,Yes,Maybe,No,No,Sometimes,No,No,No,10.0,5.0,Food Quality,Safety,No,4,,,Yes,
30,Male,Single,Postgraduate,Corporate,269650,Mumbai,Not Disclosed,2,Exhibition,No,Social Media,Online,Academic,3.1,Outstation,Alone,Rarely,10705,Yes,Event + Food,No,"Continental,Indian,Asian",568,No,No,No,4,4,3,3,4,4,3,4,5,5,4,3,5,Yes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,Yes,7.0,3.0,"Other,Food Quality,Waiting Time",Facilities,No,5,,,No,
42,Male,Single,High School,Corporate,144347,Delhi,College,3,Other,Yes,Social Media,Online,Academic,10.4,Within city,Colleagues,Rarely,13747,Maybe,Networking Access,Yes,Quick snacks,2021,No,No,No,4,4,4,3,5,3,4,4,4,4,2,4,5,Yes,Yes,No,Maybe,No,No,Sometimes,Yes,No,Yes,6.0,7.0,"Accessibility,Signage",Crowds,No,3,,,Yes,user2408@mail.com
32,Female,Single,High School,Entrepreneur,82608,Mumbai,Not Disclosed,3,Exhibition,No,Email,Online,Academic,4.2,Within city,Colleagues,Monthly,6151,No,Parking,No,Gluten-free,713,No,No,Yes,3,4,4,4,4,3,4,5,3,5,4,3,4,Yes,Yes,No,Maybe,No,Yes,Sometimes,No,No,No,1.0,7.0,"Signage,Accessibility,Other",COVID-19,No,2,,,No,
28,Female,Married,Postgraduate,Artist,37866,Other,Not Disclosed,2,Banquet,Yes,Ad,Through organization,Industry,2.5,Within city,Colleagues,Monthly,2620,Yes,Event + Food,No,"Continental,Quick snacks",2391,No,Yes,No,4,3,5,4,5,4,4,5,4,4,5,4,4,Yes,Yes,No,No,Yes,Maybe,Always,No,No,No,9.0,7.0,"Waiting Time,Other",Pricing,Yes,3,,,No,
31,Female,Married,PhD,Entrepreneur,96662,Chennai,Infosys,6,Meeting,No,Social Media,Through organization,Family,6.1,Outstation,Family,Rarely,5974,No,None,Yes,"Indian,Continental,No preference",1556,No,Yes,Maybe,5,4,4,4,5,5,4,3,3,3,3,3,5,Yes,Yes,No,Yes,No,No,Always,No,Maybe,No,6.0,9.0,"Signage,Accessibility,Waiting Time",COVID-19,No,4,,,No,
31,Female,Married,Graduate,Corporate,63022,Mumbai,Not Disclosed,5,Conference,No,Word of Mouth,Online,Entertainment,4.1,Within city,Colleagues,Annually,3163,No,Parking,No,"Gluten-free,Quick snacks,Vegan",756,No,No,Maybe,4,5,4,3,5,5,4,5,4,4,4,3,4,Yes,Yes,No,No,No,No,Always,Yes,Maybe,No,9.0,10.0,Tech Issues,Safety,No,5,,,No,
18,Male,Single,Graduate,Corporate,133212,Delhi,TCS,2,Performance,Yes,Email,Online,Industry,7.8,Within city,Family,Annually,4828,Yes,Event + Food,No,"Vegan,Asian,No preference",1410,No,No,Yes,4,3,3,4,4,5,4,4,4,5,2,4,5,No,Yes,No,Yes,No,No,Sometimes,No,Yes,No,8.0,5.0,"Seating,Signage,Other",Safety,No,2,,,No,
39,Male,Single,Graduate,Corporate,123865,Pune,Not Disclosed,4,Meeting,Yes,Email,Through organization,Family,5.8,50-100km,Alone,Quarterly,8078,Maybe,Event + Food,Yes,"Continental,Vegan,No preference",263,Yes,Yes,Maybe,4,3,4,5,3,4,5,5,4,4,5,4,5,Yes,Yes,No,Yes,Yes,No,Sometimes,No,No,No,10.0,10.0,Other,Crowds,No,4,,,No,
21,Female,Married,High School,Entrepreneur,101650,Chennai,Not Disclosed,5,Meeting,Yes,Ad,Online,Academic,5.6,50-100km,Alone,Monthly,3291,Maybe,VIP Perks,Yes,"Quick snacks,Indian",1202,No,No,Maybe,3,5,3,4,4,4,5,4,4,3,3,3,5,Yes,Yes,No,Yes,Sometimes,No,Sometimes,Yes,Yes,No,3.0,6.0,"Parking,Signage",Safety,No,3,,,No,
31,Female,Married,Graduate,Corporate,88467,Delhi,Not Disclosed,4,Meeting,Yes,Email,Online,Entertainment,5.5,Within city,Alone,Annually,9711,No,Networking Access,Yes,"Asian,Indian,Continental",735,No,Yes,Maybe,4,5,5,5,4,4,5,5,2,3,5,2,5,Somewhat,Yes,No,Yes,Yes,Maybe,Sometimes,No,No,No,10.0,9.0,"Parking,Tech Issues,Waiting Time",Facilities,No,4,,,No,
48,Male,Married,Graduate,Corporate,88479,Mumbai,Reliance,3,Performance,Yes,Word of Mouth,Online,Entertainment,2.8,Outstation,Friends,Quarterly,6853,Yes,Event + Food,No,No preference,358,No,No,Yes,5,4,4,3,3,5,5,3,5,3,3,3,5,Yes,No,No,No,No,No,Never,Yes,Yes,No,10.0,10.0,Accessibility,Pricing,No,3,,,No,
24,Female,Married,Graduate,Corporate,109082,Other,TCS,2,Meeting,No,Social Media,Other,Entertainment,4.5,Within city,Alone,Annually,5088,Yes,None,No,"Quick snacks,No preference,Asian",2001,Yes,No,Yes,4,5,5,4,5,5,2,4,4,2,5,4,5,Yes,Yes,No,Yes,Sometimes,Maybe,Sometimes,No,Maybe,Yes,7.0,5.0,"Seating,Accessibility",Pricing,No,4,,,Yes,user3783@mail.com
46,Female,Married,Graduate,Corporate,30076,Mumbai,Reliance,2,Conference,Yes,Social Media,Other,Art & Culture,4.8,Within city,Colleagues,Monthly,5666,Yes,Parking,Yes,"Vegan,Continental,No preference",786,No,Maybe,Maybe,4,3,3,5,5,5,5,3,5,3,5,5,5,Yes,Yes,No,No,No,Yes,Always,No,No,No,9.0,10.0,"Seating,Waiting Time",Pricing,Yes,4,,,No,user2976@mail.com
33,Female,Married,Graduate,Academic,127795,Mumbai,Infosys,3,Exhibition,No,Email,Online,Family,2.9,Within city,Colleagues,Quarterly,2062,No,None,Yes,"Vegan,Continental,Asian",1701,Yes,No,Maybe,5,5,5,5,5,5,4,5,4,5,3,3,4,Yes,Yes,No,Yes,Yes,No,Never,No,No,No,5.0,8.0,"Food Quality,Accessibility",Safety,Somewhat,3,,,No,user4983@mail.com
39,Female,Single,Graduate,Corporate,260369,Pune,TCS,3,Meeting,No,Ad,At venue,Entertainment,9.2,Within city,Family,Rarely,2080,Yes,VIP Perks,No,"Indian,No preference,Continental",898,Maybe,Maybe,Maybe,4,5,3,5,3,5,4,3,5,3,4,4,4,No,Somewhat,No,Maybe,No,No,Sometimes,Yes,No,No,9.0,8.0,"Parking,Food Quality,Tech Issues",Facilities,No,5,,,No,
47,Female,Single,Graduate,Corporate,236741,Delhi,HUL,1,Conference,Yes,Word of Mouth,Online,Academic,3.1,Within city,Colleagues,Quarterly,5650,No,Networking Access,No,No preference,1584,No,Yes,No,4,2,4,3,5,4,3,5,3,3,4,2,4,Yes,Somewhat,No,Yes,No,No,Never,Yes,Yes,No,10.0,10.0,"Accessibility,Other",Safety,No,2,,,Yes,
30,Male,Single,Postgraduate,Corporate,89456,Delhi,Startup,5,Meeting,No,Email,Online,Entertainment,2.9,50-100km,Family,Annually,4690,Maybe,Event + Food,Yes,"Gluten-free,Quick snacks,No preference",2501,No,No,Yes,4,5,4,3,5,4,3,4,5,2,3,4,5,Yes,No,Yes,No,Yes,Yes,Always,No,No,No,10.0,9.0,Food Quality,Crowds,No,3,,,No,
22,Female,Married,Postgraduate,Corporate,259442,Delhi,Other,4,Exhibition,No,Social Media,Online,Family,2.9,Within city,Family,Monthly,6307,Yes,Event + Food,No,"Continental,Vegan,Quick snacks",300,Yes,Yes,No,5,5,3,4,4,5,3,4,3,2,5,3,3,Yes,Yes,No,Yes,Yes,No,Sometimes,Yes,No,No,10.0,6.0,Accessibility,Pricing,No,1,,,No,
33,Male,Single,Postgraduate,Corporate,81548,Other,Not Disclosed,0,Banquet,No,Word of Mouth,Through organization,Art & Culture,5.3,Within city,Colleagues,Quarterly,5219,Yes,Event + Food,Yes,"Vegan,No preference,Continental",487,No,No,Maybe,4,4,5,4,4,4,3,3,4,2,4,3,4,Somewhat,Yes,No,Maybe,No,Maybe,Always,No,Yes,Yes,10.0,8.0,"Parking,Other,Food Quality",Pricing,No,3,,,Yes,
27,Male,Single,Postgraduate,Corporate,251197,Mumbai,Not Disclosed,1,Conference,No,Social Media,Through organization,Other,1.8,Within city,Alone,Rarely,4841,No,Event + Food,No,"Continental,Asian",1796,No,No,No,4,4,3,5,5,4,5,5,5,5,3,3,5,Yes,Yes,No,Maybe,No,No,Sometimes,Yes,No,Yes,5.0,3.0,Accessibility,COVID-19,No,5,,,No,
24,Male,Married,Postgraduate,Entrepreneur,91917,Bangalore,Startup,5,Meeting,No,Ad,At venue,Industry,7.0,Within city,Friends,Quarterly,4809,Yes,None,Yes,"Asian,Indian,No preference",997,No,Yes,No,3,5,5,5,5,3,4,2,4,4,4,3,4,Yes,Yes,No,No,No,No,Always,Yes,Yes,Yes,9.0,8.0,Parking,Safety,No,3,,,No,
35,Female,Married,Graduate,Academic,41981,Bangalore,Startup,0,Banquet,No,Email,Through organization,Family,4.1,Outstation,Friends,Annually,2692,Yes,Event + Food,Yes,"Asian,Continental",686,No,No,No,3,4,5,4,5,5,5,4,3,4,4,3,5,Yes,Yes,No,Yes,Yes,No,Sometimes,No,Yes,Yes,8.0,10.0,Accessibility,Pricing,No,3,,,No,
40,Female,Married,Postgraduate,Academic,40365,Other,Startup,4,Exhibition,No,Other,Online,Other,5.1,Within city,Alone,Quarterly,10302,Maybe,VIP Perks,Yes,"Vegan,Quick snacks,No preference",3424,No,No,Yes,5,3,4,5,5,3,4,3,3,3,1,3,4,Yes,Somewhat,No,No,No,No,Never,Yes,Yes,No,8.0,6.0,"Food Quality,Parking",Pricing,No,3,,,No,
34,Male,Married,Graduate,Academic,182634,Bangalore,TCS,1,Performance,Yes,Ad,Online,Industry,4.0,Within city,Family,Rarely,4844,No,VIP Perks,No,"Gluten-free,Vegan",1618,No,No,Yes,4,5,3,4,2,3,3,5,2,3,3,3,5,Yes,Somewhat,No,No,Yes,No,Sometimes,Yes,Yes,No,7.0,7.0,Parking,Safety,Somewhat,4,,,Yes,
61,Male,Single,Postgraduate,Academic,131598,Mumbai,College,4,Banquet,Yes,Social Media,Online,Industry,0.1,50-100km,Friends,Quarterly,8665,Yes,VIP Perks,No,"Indian,Quick snacks,Asian",1168,Maybe,Maybe,No,4,4,4,3,3,5,3,5,4,3,5,3,4,Yes,No,No,No,Sometimes,No,Never,Yes,Yes,No,9.0,6.0,"Other,Food Quality",Pricing,Somewhat,3,,,Yes,
43,Male,Single,Graduate,Artist,136526,Mumbai,Not Disclosed,2,Meeting,Yes,Email,Online,Academic,2.4,Outstation,Family,Rarely,5039,No,Event + Food,No,"Indian,Asian,Continental",3312,Maybe,No,Yes,5,3,2,4,5,3,4,4,4,3,3,4,4,Yes,Yes,Yes,Maybe,No,Yes,Never,Yes,No,Yes,10.0,10.0,Parking,Other,Somewhat,2,,,No,
